Pipeline,Method,Model,Valid Accuracy,Valid Macro-F1,Valid Fake F1,Test Accuracy,Test Macro-F1,Test Fake Precision,Test Fake Recall,Test Fake F1,Test Real F1,Test Confusion Matrix,Best Params
Proposed,Text + metadata,Random Forest,0.6542056074766355,0.6416870305004978,0.5747126436781609,0.6393054459352802,0.6133958289516293,0.6243523316062176,0.4358047016274864,0.5133120340788072,0.7134796238244514,"[[241, 312], [145, 569]]","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Baseline,TF-IDF only,Logistic Regression,0.6129283489096573,0.6039808688928371,0.5444546287809349,0.6219415943172849,0.6007348563345998,0.5876777251184834,0.4484629294755877,0.5087179487179487,0.6927517639512508,"[[248, 305], [174, 540]]",
Baseline,TF-IDF only,Logistic Regression (balanced),0.6059190031152648,0.6056424886191198,0.5952,0.6022099447513812,0.5977777777777777,0.5421686746987951,0.569620253164557,0.5555555555555556,0.64,"[[315, 238], [266, 448]]",
Baseline,TF-IDF only,SVM,0.5934579439252337,0.5911725955204216,0.5606060606060606,0.6022099447513812,0.5913007859501804,0.5483234714003945,0.5027124773960217,0.5245283018867924,0.6580732700135685,"[[278, 275], [229, 485]]",
Proposed,Chi-square,Logistic Regression,0.6059190031152648,0.6057315131272332,0.5971337579617835,0.5943172849250198,0.5899335569928872,0.5334476843910806,0.5623869801084991,0.5475352112676056,0.6323319027181689,"[[311, 242], [272, 442]]","{'C': 10, 'class_weight': 'balanced', 'solver': 'liblinear'}"
Proposed,Mutual Information,SVM,0.6098130841121495,0.6095551804570012,0.5995203836930456,0.5943172849250198,0.589375069358272,0.5339130434782609,0.5551537070524413,0.5443262411347518,0.6344238975817923,"[[307, 246], [268, 446]]","{'C': 0.1, 'class_weight': 'balanced'}"
Baseline,TF-IDF only,SVM (balanced),0.5911214953271028,0.5908512370058394,0.580335731414868,0.5911602209944752,0.5868776469047894,0.5299145299145299,0.5605786618444847,0.5448154657293497,0.6289398280802292,"[[310, 243], [275, 439]]",
Proposed,Chi-square,Random Forest,0.6074766355140186,0.5999604371692795,0.5451263537906137,0.6022099447513812,0.58675799086758,0.5522388059701493,0.4683544303797468,0.5068493150684932,0.6666666666666666,"[[259, 294], [210, 504]]","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Proposed,Mutual Information,Random Forest,0.618380062305296,0.6096518657494268,0.5512820512820513,0.6077348066298343,0.5863624868213184,0.5657276995305164,0.4358047016274864,0.4923391215526047,0.6803858520900321,"[[241, 312], [185, 529]]","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Baseline,TF-IDF only,Naive Bayes,0.6113707165109035,0.597663277628012,0.5234001910219676,0.6093133385951065,0.5808810409592693,0.5755208333333334,0.3996383363471971,0.471718249733191,0.6900438321853475,"[[221, 332], [163, 551]]",
Proposed,Mutual Information,XGBoost,0.6191588785046729,0.5944391012080739,0.4943123061013443,0.6156274664561957,0.5797918671414727,0.5959302325581395,0.3707052441229656,0.4570791527313266,0.7025045815516188,"[[205, 348], [139, 575]]","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
Baseline,TF-IDF only,Random Forest,0.6199376947040498,0.6094919716108382,0.5456238361266295,0.6045777426992897,0.5797427876259993,0.5640394088669951,0.4141048824593128,0.4775808133472367,0.6819047619047619,"[[229, 324], [177, 537]]",
Proposed,Chi-square,Naive Bayes,0.6059190031152648,0.593999960006399,0.5244360902255639,0.6029992107340174,0.5752213038212692,0.5641025641025641,0.3978300180831826,0.4665959703075291,0.6838466373350094,"[[220, 333], [170, 544]]",{'alpha': 0.1}
Proposed,Mutual Information,Naive Bayes,0.6137071651090342,0.6011303511303512,0.5303030303030303,0.601420678768745,0.5742633022132706,0.5609137055837563,0.3996383363471971,0.4667370644139387,0.6817895400126024,"[[221, 332], [173, 541]]",{'alpha': 0.1}
Proposed,Chi-square,SVM,0.588006230529595,0.5879339977080347,0.5824782951854776,0.5761641673243884,0.5721976477689645,0.5135135135135135,0.5497287522603979,0.5310043668122271,0.6133909287257019,"[[304, 249], [288, 426]]","{'C': 10, 'class_weight': 'balanced'}"
Proposed,Chi-square,XGBoost,0.6121495327102804,0.5832722893199479,0.4735729386892177,0.6037884767166535,0.5586970881115465,0.5825242718446602,0.325497287522604,0.4176334106728538,0.6997607655502392,"[[180, 373], [129, 585]]","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
Baseline,TF-IDF only,Dummy (stratified),0.5194704049844237,0.5165966482696761,0.4793248945147679,0.4925019731649566,0.485091187187339,0.4199288256227758,0.4267631103074141,0.4233183856502242,0.5468639887244539,"[[236, 317], [326, 388]]",
Baseline,TF-IDF only,Dummy (most frequent),0.5202492211838006,0.3422131147540984,0.0,0.56353591160221,0.3604240282685512,0.0,0.0,0.0,0.7208480565371025,"[[0, 553], [0, 714]]",
